[00:00:00.009] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/00011IMG_00011_BURST20161204154200.jpg -> /home/sgzmd/Downloads/Temp/2016/12/04/00011IMG_00011_BURST20161204154200.jpg
[00:00:00.009] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161213_072052.jpg
[00:00:00.009] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161213_072052.jpg -> /home/sgzmd/Downloads/Temp/2016/12/13/IMG_20161213_072052.jpg
[00:00:00.010] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4649.jpg
[00:00:00.010] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4649.jpg -> /home/sgzmd/Downloads/Temp/2016/12/02/IMG_4649.jpg
[00:00:00.010] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/20161204_124151-COLLAGE.jpg
[00:00:00.010] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/20161204_124151-COLLAGE.jpg -> /home/sgzmd/Downloads/Temp/2016/12/04/20161204_124151-COLLAGE.jpg
[00:00:00.010] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_135344.jpg
[00:00:00.010] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_135344.jpg -> /home/sgzmd/Downloads/Temp/2016/12/15/IMG_20161215_135344.jpg
[00:00:00.010] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161127_112438.jpg
[00:00:00.010] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161127_112438.jpg -> /home/sgzmd/Downloads/Temp/2016/11/27/IMG_20161127_112438.jpg
[00:00:00.010] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161204_114609.jpg
[00:00:00.010] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161204_114609.jpg -> /home/sgzmd/Downloads/Temp/2016/12/04/IMG_20161204_114609.jpg
[00:00:00.011] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161216_173919.jpg
[00:00:00.011] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161216_173919.jpg -> /home/sgzmd/Downloads/Temp/2016/12/16/IMG_20161216_173919.jpg
[00:00:00.011] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4843.jpg
[00:00:00.011] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4843.jpg -> /home/sgzmd/Downloads/Temp/2016/12/18/IMG_4843.jpg
[00:00:00.011] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/00007XTR_00007_BURST20161126121830.jpg
[00:00:00.011] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/00007XTR_00007_BURST20161126121830.jpg -> /home/sgzmd/Downloads/Temp/2016/11/26/00007XTR_00007_BURST20161126121830.jpg
[00:00:00.011] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161112_204450.jpg
[00:00:00.011] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161112_204450.jpg -> /home/sgzmd/Downloads/Temp/2016/11/12/IMG_20161112_204450.jpg
[00:00:00.011] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4760.jpg
[00:00:00.011] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_4760.jpg -> /home/sgzmd/Downloads/Temp/2016/12/17/IMG_4760.jpg
[00:00:00.012] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_073713.jpg
[00:00:00.012] (7f73837ed280) INFO   Moved photo /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161215_073713.jpg -> /home/sgzmd/Downloads/Temp/2016/12/15/IMG_20161215_073713.jpg
[00:00:00.012] (7f73837ed280) INFO   Dry-run, not really copying/moving /home/sgzmd/Downloads/Photos/Photos from 2016/IMG_20161118_155425.jpg
